Mountrath (52.99889, -7.47278) 蒙特拉斯
Mountmellick (53.11361, -7.32) 蒙特梅利克
Moroe (52.65111, -8.39611) 莫罗
Moone (52.97556, -6.815) 穆恩
Mooncoin (52.28944, -7.24833) 月币
Monkstown (53.29308, -6.15312) 蒙克斯敦
Monasterevin (53.14056, -7.06639) 莫纳斯特雷文
Monaghan (54.25, -6.96667) 莫纳亨
Mohill (53.91667, -7.86667) 莫希尔
Moate (53.55, -7.71667) 莫特
Mitchelstown (52.26583, -8.26806) 米切尔斯敦
Miltown Malbay (52.85528, -9.39833) 米尔敦马尔贝
Baile an Mhuilinn (52.15, -9.71667) 巴利安穆林
Millstreet (52.05935, -9.06031) 米尔街
Millford (55.08806, -7.69889) 米尔福德
Midleton (51.91526, -8.18052) 米德尔顿
Mount Merrion (53.30008, -6.21504) 蒙特梅里恩
Maynooth (53.385, -6.59361) 梅努斯
Manorhamilton (54.30639, -8.17611) 马诺汉密尔顿
Manorcunningham (54.95, -7.61667) 马诺坎宁安
Mallow (52.13333, -8.63333) 马洛
Malahide (53.45083, -6.15444) 马拉海德
Macroom (51.90663, -8.96968) 马克鲁姆
Lusk (53.52743, -6.16423) 卢斯克
Loughrea (53.19694, -8.56694) 洛赫雷
Loughlinstown (53.24389, -6.13306) 洛克林斯敦
Longwood (28.70305, -81.3384) 朗伍德
Lixnaw (52.40556, -9.61694) 利克斯瑙
Lisdoonvarna (53.03278, -9.28833) 利斯顿瓦纳
Limerick (52.66472, -8.62306) 利默里克
Leifear (54.83194, -7.48361) 莱费尔
Letterkenny (54.95, -7.73333) 莱特肯尼
Leixlip (53.36583, -6.49556) 莱克斯利普
Leitrim (53.99083, -8.06361) 利特里姆
Leighlinbridge (52.73639, -6.9725) 莱林布里奇
Lehinch (52.93268, -9.33666) 莱欣奇
Laytown (53.68194, -6.23917) 莱敦
Strandhill (54.27194, -8.59333) 斯特兰德希尔
Lanesborough (42.51731, -73.22816) 莱恩斯伯勒
Lackagh (53.36697, -8.88047) 拉卡
Knockbridge (53.9732, -6.48597) 诺克布里奇
Knockaderry (52.46556, -8.96528) 诺克德里
Knock (53.79059, -8.92111) 诺克
Kinvarra (53.13944, -8.93361) 金瓦拉
Kinsale (51.7075, -8.53056) 金塞尔
Kinnegad (53.45222, -7.09972) 金尼加德
Kinlough (54.45, -8.28333) 金洛赫
Kingscourt (53.90806, -6.80556) 金斯考特
Kilworth (52.17639, -8.24417) 基尔沃思
Kiltamagh (53.85, -9) 基尔塔马赫
Kilsheelan (52.36028, -7.57667) 基尔希兰
Kilrush (52.64011, -9.48509) 基尔拉什
Kilrane (52.24202, -6.35615) 基尔雷恩
Kilmuckridge (52.512, -6.285) 基尔马克里奇
Kilmessan (53.55882, -6.65895) 基尔梅桑
Kilmeage (53.25194, -6.84194) 基尔米奇
Kilmallock (52.4, -8.57722) 基尔马洛克
Kilmacthomas (52.20545, -7.42573) 基尔马克托马斯
Kilmacrenan (55.03083, -7.77917) 基尔马克雷南
Kilmacow (52.31723, -7.1775) 基尔马考
Killygordon (54.8, -7.68333) 基利戈登
Killybegs (54.63333, -8.45) 基利贝格斯
Killumney (51.87243, -8.64781) 基卢姆尼
Killucan (53.51439, -7.14194) 基卢坎
Killorglin (52.1, -9.78333) 基洛格林
Killinaboy (52.97194, -9.08139) 基利纳博伊
Killenaule (52.56833, -7.67139) 基利诺尔
Killeagh (51.94222, -7.99778) 基利亚
Killaloe (52.80667, -8.44361) 基拉卢
Killala (54.21165, -9.2201) 基拉拉
Kilkishen (52.80667, -8.74583) 基尔基申
Kilkee (52.67976, -9.64344) 基尔基
Cill Fhionain (52.36051, -8.47175) 基尔费南
Kildrum (54.97977, -7.41213) 基尔德拉姆
Kildare (53.15611, -6.91444) 基尔代尔
Kildalkey (53.57033, -6.90467) 基尔达尔基
Kilcullen (53.13028, -6.74444) 基尔卡伦
Kilcoole (53.10278, -6.065) 基尔库尔
Kilcock (53.40222, -6.67083) 基尔科克
Kilbeggan (53.36944, -7.50333) 基尔贝根
Kenmare (51.88333, -9.58333) 肯梅尔
Kells (53.72639, -6.87917) 凯尔斯
Keenagh (53.62316, -7.81488) 基纳
Kanturk (52.16667, -8.9) 坎特克
Julianstown (53.67287, -6.28534) 朱利安斯敦
Johnstown (40.32674, -78.92197) 约翰斯敦
Inishcrone (54.21591, -9.09197) 伊尼什克隆
Innishannon (51.7654, -8.65705) 因尼香农
Howth (53.38778, -6.06528) 豪斯
Hospital (52.47306, -8.43056) 霍斯皮塔尔
Holycross (52.63972, -7.86306) 霍利克罗斯
Headford (53.46667, -9.1) 赫德福德
Hacketstown (52.86389, -6.55694) 哈克特斯敦
Gweedore (55.05028, -8.23194) 格威多尔
Greystones (53.14083, -6.06306) 格雷斯通斯
Grenagh (52.01526, -8.60882) 格雷纳
Greencastle (39.64449, -86.86473) 格林卡斯尔
Granard (53.77928, -7.49429) 格拉纳德
Graiguenamanagh (52.54028, -6.95472) 格雷格纳马纳
Gowran (52.62944, -7.07333) 戈兰
