Castletownbere (51.65132, -9.9104) 卡斯尔敦贝尔
Castlerea (53.77258, -8.50307) 卡斯尔雷
Castlepollard (53.67935, -7.29736) 卡斯尔波拉德
Castlemartyr (51.91028, -8.05389) 卡斯尔马特尔
Castleknock (53.37483, -6.36336) 卡斯尔诺克
Castleisland (52.23333, -9.46667) 卡斯尔艾兰
Castledermot (52.90889, -6.84222) 卡斯尔德莫特
Castlecomer (52.80611, -7.21056) 卡斯尔科默
Castlebridge (52.38639, -6.44944) 卡斯尔布里奇
Castleblayney (54.11667, -6.73333) 卡斯尔布莱尼
Castlebellingham (53.90083, -6.39028) 卡斯尔贝灵汉
Castlebar (53.85, -9.3) 卡斯尔巴
Cashel (52.51583, -7.88556) 卡瑟尔
Carrigtwohill (51.90833, -8.26333) 卡里格图希尔
Carrignavar (51.98861, -8.47972) 卡里格纳瓦尔
Carrigaline (51.81167, -8.39861) 卡里加莱恩
Carrickon-Suir (52.34917, -7.41306) 卡里克昂苏尔
Carrickon-Shannon (53.94694, -8.09) 卡里克昂香农
Carrickmacross (53.97278, -6.71889) 卡里克马克罗斯
Carraroe (53.26403, -9.59853) 卡拉罗
Carragh (53.23634, -6.72836) 卡拉
Carnew (52.70806, -6.49444) 卡纽
Carndonagh (55.25, -7.26667) 卡恩多纳
Carlanstown (53.75943, -6.84095) 卡兰斯敦
Cappoquin (52.14603, -7.8466) 卡波昆
Cappamore (52.61444, -8.33556) 卡帕莫尔
Calverstown (53.08279, -6.7977) 卡尔弗斯敦
Callan (52.545, -7.39111) 卡伦
Cahersiveen (51.94861, -10.22222) 卡赫西文
Caherconlish (52.59361, -8.47028) 卡赫康利什
Cahir (52.37694, -7.92167) 卡希尔
Cabinteely (53.26973, -6.16058) 卡宾特利
Buttevant (52.23333, -8.66667) 巴特文特
Bundoran (54.47782, -8.28094) 邦多兰
Bunclody (52.6553, -6.65359) 邦克洛迪
Bruree (52.42194, -8.66417) 布鲁里
Bruff (52.47417, -8.54583) 布拉夫
Boyle (53.96667, -8.3) 博伊尔
Borrisoleigh (52.75222, -7.95306) 博里索利
Borrisokane (52.99528, -8.12806) 博里索凯恩
Borris in Ossory (52.93639, -7.63639) 博里斯因奥索里
Borris (52.6, -6.9175) 博里斯
Blessington (53.17, -6.5325) 布莱辛顿
Blennerville (52.25, -9.73333) 布伦纳维尔
Blarney (51.93333, -8.56667) 布拉尼
Blanchardstown (53.38806, -6.37556) 布兰查兹敦
Blackrock (53.3015, -6.1778) 布莱克罗克
Bennettsbridge (52.59194, -7.18) 本内茨桥
Belturbet (54.1, -7.45) 贝尔特贝特
Belmullet (54.225, -9.99083) 贝尔马利特
Ballinagh (53.93333, -7.41667) 巴利纳
Belgooly (51.73889, -8.49) 贝尔古利
Bearna (53.25194, -9.14972) 贝尔纳
Bantry (51.68025, -9.45254) 班特里
Bandon (51.74694, -8.7425) 班登
Banagher (53.18861, -7.98667) 巴纳赫
Baltinglass (52.93722, -6.70917) 巴尔廷格拉斯
Balrothery (53.58828, -6.18728) 巴尔罗瑟里
Ballyshannon (54.5, -8.18333) 巴利沙农
Ballysadare (54.21167, -8.50944) 巴利萨代尔
Ballyragget (52.78889, -7.33028) 巴利拉格特
Ballymote (54.08333, -8.51667) 巴利莫特
Ballymore Eustace (53.13316, -6.61496) 巴利莫尔尤斯塔斯
Ballymahon (53.56667, -7.76667) 巴利马洪
Ballyjamesduff (53.86528, -7.20278) 巴利詹姆斯达夫
Ballyheige (52.38333, -9.83361) 巴利海格
Ballyhaunis (53.76667, -8.76667) 巴利豪尼斯
Ballyhaise (54.05, -7.31667) 巴利海斯
Ballygarvan (51.82198, -8.46233) 巴利加尔文
Ballygar (53.52162, -8.32738) 巴利加尔
Ballyduff (52.45593, -9.66399) 巴利达夫
Ballyconnell (54.11667, -7.58333) 巴利康奈尔
Ballyclerahan (52.41127, -7.75759) 巴利克莱拉汉
Ballycanew (52.60889, -6.30306) 巴利卡纽
Ballybunnion (52.51108, -9.67097) 巴利邦宁
Ballybofey (54.8, -7.78333) 巴利博菲
Ballyboden (53.28056, -6.31639) 巴利博登
Ballybay (54.12611, -6.90056) 巴利贝
Ballivor (53.53167, -6.96111) 巴利沃尔
Ballitore (53.00694, -6.81944) 巴利托尔
Ballinrobe (53.63333, -9.23333) 巴林罗布
Ballingarry (52.47278, -8.86389) 巴林加里
Ballincollig (51.88333, -8.58333) 巴林科利格
Ballinasloe (53.3275, -8.21944) 巴林纳斯洛
Ballinamore (54.05, -7.8) 巴林纳莫尔
Ballaghaderreen (53.90134, -8.57507) 巴拉哈德林
Balla (53.8032, -9.12913) 巴拉
Baldoyle (53.39972, -6.12583) 巴尔多伊尔
Balbriggan (53.60846, -6.1831) 巴尔布里根
Bailieborough (53.91667, -6.96667) 贝利伯勒
Bagenalstown (52.70031, -6.96181) 巴根纳尔斯敦
Aughrim (52.85333, -6.3275) 奥格里姆
Athy (52.99139, -6.98028) 阿西
Athgarvan (53.15229, -6.78173) 阿斯加文
Athenry (53.29639, -8.74306) 阿森赖
Athboy (53.62327, -6.91434) 阿斯博伊
Askeaton (52.59972, -8.97556) 阿斯基顿
Arklow (52.79443, -6.14958) 阿克洛
Ardrahan (53.1575, -8.80583) 阿德拉汉
Ardnacrusha (52.70908, -8.61431) 阿德纳克鲁沙
