Ardfinnan (52.31167, -7.875) 阿德芬南
Ardfert (52.32261, -9.77774) 阿德费特
Ardee (53.85972, -6.54056) 阿迪
Ardara (54.76444, -8.4075) 阿达拉
Aherla (51.85402, -8.73233) 阿赫拉
Aghada (51.83917, -8.21222) 阿哈达
Abbeyleix (52.91331, -7.34456) 阿比利克斯
Abbeyfeale (52.38139, -9.3025) 阿比菲尔
Knocknalower (54.24134, -9.82198) 诺克纳洛尔
Portraine (53.49667, -6.11111) 波特兰
Loughshinny (53.54917, -6.08278) 洛克希尼
Bweeng (52.04522, -8.72626) 布温
Drommahane (52.10472, -8.69139) 德罗马汉
Ballygerry (52.24917, -6.35739) 巴利盖里
Piercetown (52.28393, -6.48977) 皮尔斯镇
Ballinroad (52.51789, -6.40619) 巴林路
Mucklagh (53.25099, -7.54915) 马克拉
Annacotty (52.66768, -8.53121) 安纳科蒂
Castleconnell (52.71389, -8.49944) 卡斯尔康奈尔
Nenagh Bridge (52.88167, -8.19583) 尼纳桥
Kilconnell (53.33278, -8.39222) 基尔康奈尔
Athlone (-33.96722, 18.50214) 阿斯隆
Kilcormac (53.17417, -7.72556) 基尔科马克
Killenard (53.13306, -7.14861) 基伦纳德
Suncroft (53.104, -6.86126) 桑克罗夫特
Kill (53.25139, -6.59167) 基尔
Johnstown Bridge (53.40389, -6.85889) 约翰斯敦桥
Kilpedder (53.10917, -6.10667) 基尔佩德
Valleymount (53.10389, -6.55361) 瓦利芒特
Kilmacanoge (53.16722, -6.13361) 基尔马卡诺格
Eadestown (53.20274, -6.57768) 伊德斯敦
Little Bray (53.20444, -6.12083) 小布雷
Firhouse (53.28167, -6.33917) 费尔豪斯
Sandyford (53.2747, -6.2253) 桑迪福德
Foxrock (53.26667, -6.17417) 福克斯罗克
Sallynoggin (53.27917, -6.14058) 萨利诺金
Rathgar (53.31457, -6.275) 拉斯加尔
Artane (53.38712, -6.2138) 阿塔恩
Ballymun (53.39807, -6.26693) 巴利蒙
Walkinstown (53.32964, -6.33963) 沃金斯敦
Hartstown (53.39306, -6.42694) 哈特斯敦
Mulhuddart (53.40361, -6.40111) 马尔哈达特
Ballyfermot (53.34283, -6.3548) 巴利费尔莫特
Templeogue (53.29528, -6.30889) 坦普洛格
Oldbawn (53.27556, -6.3675) 老鲍恩
Cherry Orchard (53.33605, -6.37799) 樱桃果园
Rialto (34.1064, -117.37032) 里亚尔托
Milltown (40.45622, -74.44321) 米尔顿
Clonskeagh (53.31467, -6.23148) 克隆斯基
Booterstown (53.30447, -6.19985) 布特斯敦
Ballinteer (53.27409, -6.25397) 巴林蒂尔
Greenhills (53.33467, -6.30302) 格林希尔斯
Coolock (53.3887, -6.19998) 库洛克
Bonnybrook (53.39835, -6.20749) 邦尼布鲁克
Donaghmede (53.39845, -6.16179) 多纳梅德
Darndale (53.39948, -6.18886) 达恩代尔
Donnycarney (53.3735, -6.20976) 多尼卡尼
Bayside (40.76844, -73.77708) 湾边
South Dublin (53.29026, -6.34151) 南都柏林
Charlesland (53.12771, -6.06347) 查尔斯兰
Moyross (52.68198, -8.63955) 莫伊罗斯
Ballisodare (54.2111, -8.50865) 巴利索代尔
Ballylinan (52.94497, -7.04073) 巴利利南
Castletroy (52.67349, -8.55333) 卡斯尔特罗伊
Enniskeane (51.73793, -8.93154) 恩尼斯基恩
Knocklyon (53.2803, -6.3313) 诺克莱恩
Palmerstown (53.35019, -6.37778) 帕尔默斯敦
Clonlara (52.72439, -8.55251) 克隆拉拉
Castlefin (54.80306, -7.59567) 卡斯尔芬
Jobstown (53.27866, -6.40803) 乔布斯敦
Killester (53.37322, -6.20431) 基莱斯特
Mountbellew (53.47185, -8.50436) 蒙特贝卢
Confey (53.37923, -6.49052) 康菲
Dromcollogher (52.33953, -8.90837) 德罗姆科洛赫
Kilfinnane (52.35914, -8.4684) 基尔芬南
Newtownforbes (53.76718, -7.8336) 纽敦福布斯
Kentstown (53.62754, -6.52674) 肯特斯敦
Kilquade (53.09743, -6.08411) 基尔夸德
Newtownmountkennedy (53.09052, -6.11149) 纽敦芒特肯尼迪
Balally (53.27504, -6.23594) 巴拉利
Moneenroe (52.84, -7.15549) 莫尼恩罗
Fountainstown (51.78392, -8.30097) 方廷斯敦
Ballycannan (52.70199, -8.65061) 巴利坎南
Rathard (51.84816, -8.73812) 拉萨德
Rivermeade (53.45291, -6.29115) 里弗米德
KinsealyDrinan (53.44395, -6.20334) 金塞利德里南
Courtbrack (51.96677, -8.64611) 科特布拉克
Tel Qatsir (32.70545, 35.61761) 特尔卡齐尔
Majdal Shams (33.27029, 35.7716) 马吉达尔沙姆斯
Fiq (32.77935, 35.70032) 菲克
'Ein Quniya (33.23752, 35.73131) 艾因库尼亚
Al Butayhah (32.90871, 35.63199) 阿尔布泰哈
Al Khushniyah (32.99941, 35.81084) 阿尔胡什尼亚
Ghajar (33.27115, 35.62288) 加贾尔
Jerusalem (31.76904, 35.21633) 耶路撒冷
Kiryat Netafim (32.11689, 35.11222) 基里亚特内塔菲姆
Har Adar (31.82754, 35.13093) 哈尔阿达尔
Nahal Teqoa' (31.65406, 35.22822) 纳哈尔特科阿
Mizpe Yeriho (31.81672, 35.39405) 米兹佩耶里霍
Kokhav HaShahar (31.96028, 35.34923) 科哈夫哈沙哈尔
