Netiv Ha'Asara (31.57201, 34.53955) 内提夫哈阿萨拉
Bat Hadar (31.64773, 34.59661) 巴特哈达尔
Alumma (31.65177, 34.74338) 阿鲁玛
Merkaz Shapira (31.69874, 34.70895) 梅尔卡兹沙皮拉
'Ezer (31.737, 34.6714) 埃泽尔
Or HaGanuz (33.00514, 35.44691) 奥尔哈加努兹
Ahuzzat Baraq (32.64187, 35.33834) 阿胡扎特巴拉克
Giv'at Avni (32.77682, 35.43747) 吉瓦特阿夫尼
MitspeNetofa (32.80287, 35.38291) 米茨佩内托法
Kokhav Ya'ir (32.22623, 35.00222) 科哈夫亚伊尔
Shoshannat Ha'Amaqim (32.35409, 34.85688) 朔珊娜特哈阿马基姆
Bat Hefer (32.33307, 35.01272) 巴特赫费尔
Harish (32.46096, 35.0435) 哈里什
Zemer (32.36658, 35.03312) 泽梅尔
Karme Yosef (31.84833, 34.92024) 卡尔梅约瑟夫
'Ein Naquba (31.79366, 35.12064) 艾因纳库巴
Sheqef (31.51656, 34.93783) 谢凯夫
Rahat (31.39547, 34.75699) 拉哈特
Laqiyya (31.3185, 34.8589) 拉基亚
Segev Shalom (31.19918, 34.83956) 塞格夫沙洛姆
Modiin Ilit (31.93221, 35.04416) 莫迪因伊利特
Nof Ayalon (31.87111, 34.99081) 诺夫阿亚隆
Shilat (31.91931, 35.01763) 希拉特
Hashmonaim (31.92973, 35.0215) 哈什莫奈姆
Lapid (31.91764, 35.03222) 拉皮德
Kfar NaOranim (31.91982, 35.03669) 卡法尔纳奥拉尼姆
Beit Horon (31.87581, 35.12999) 贝特霍龙
Na'ale (31.96236, 35.06553) 纳阿莱
Giv'on HaHadasha (31.84927, 35.16106) 吉翁哈哈达沙
Nahliel (31.97415, 35.13994) 纳赫利尔
Talmon (31.93927, 35.13539) 塔尔蒙
Dolev (31.92609, 35.13393) 多列夫
Ariel (32.1065, 35.18449) 阿里尔
Nirit (32.14677, 34.98622) 尼里特
Revava (32.11926, 35.12896) 雷瓦瓦
Tal El (32.92825, 35.18128) 塔尔埃尔
Ya'ad (32.87953, 35.24166) 亚阿德
Manof (32.85399, 35.23684) 马诺夫
Moreshet (32.82859, 35.23466) 莫雷谢特
MitspeAviv (32.83907, 35.19921) 米茨佩阿维夫
Zarzir (32.72754, 35.21381) 扎尔齐尔
Shimshit (32.73137, 35.24409) 希姆希特
Giv'at Ela (32.72377, 35.24469) 吉瓦特埃拉
Nofit (32.76226, 35.1477) 诺菲特
Ka'abiyya (32.74985, 35.18361) 卡阿比亚
Harduf (32.76342, 35.17469) 哈尔杜夫
Allon HaGalil (32.75742, 35.22089) 阿隆哈加利尔
'Adi (32.78486, 35.17282) 阿迪
Ras 'Ali (32.77274, 35.15521) 拉斯阿里
Bar Yuhay (32.99848, 35.44419) 巴尔尤海
Hamam (32.82955, 35.49195) 哈马姆
Karkom (32.92862, 35.60774) 卡尔科姆
Tel Sheva' (31.24864, 34.86007) 特尔谢瓦
Gilon (32.90261, 35.23452) 吉隆
Hannaton (32.78366, 35.2446) 哈纳通
Gan Ner (32.53106, 35.3377) 甘内尔
Retamim (31.05464, 34.68969) 雷塔米姆
Khirbat Abu Tulul (31.14229, 34.91424) 希尔巴特阿布图卢尔
'Ar'ara BaNegev (31.16046, 35.02274) 阿拉拉巴内盖夫
Hura (31.30084, 34.93606) 胡拉
Kuseifa (31.24535, 35.0931) 库塞法
Shoham (31.99866, 34.94559) 绍哈姆
El'ad (32.04984, 34.95382) 埃尔阿德
Matan (32.15856, 34.97413) 马坦
Herzliya Pituah (32.17409, 34.8028) 赫兹利亚皮图阿赫
NevveZiv (33.02677, 35.18448) 内韦齐夫
Huseiniya (32.903, 35.31417) 胡塞尼亚
Kammana (32.91366, 35.35991) 卡马纳
Merav (32.45182, 35.42354) 梅拉夫
Manshiyet Zabda (32.70638, 35.19354) 曼希耶特扎布达
Ed Dumeida (32.81519, 35.22724) 埃德杜梅达
YehudMonosson (32.0284, 34.8796) 耶胡德莫诺松
Giv'ot Bar (31.3565, 34.75525) 吉沃特巴尔
Kadima Zoran (32.27782, 34.9194) 卡迪马佐兰
Bu'aynaNujaydat (32.80966, 35.36987) 布阿伊纳努贾伊达特
Yanuah Jat (32.9798, 35.23806) 亚努阿哈贾特
Yoqneam (32.65497, 35.11381) 约克尼姆
Kisra  Sume'a (32.97262, 35.29877) 基斯拉苏梅阿
Maale Iron (32.55382, 35.18412) 马阿勒伊伦
Tsur Itshak (32.24047, 34.99788) 祖尔伊察克
Be'er Ganim (31.69973, 34.60978) 贝尔加尼姆
