Lohogaon (18.59921, 73.92701) 洛霍冈
Loharu (28.42993, 75.80779) 洛哈鲁
Lohardaga (23.43305, 84.67992) 洛哈达加
Lohara (21.85, 81.13333) 洛哈拉
Lohaghat (29.40356, 80.08965) 洛哈加特
Lodhikheda (21.58235, 78.85911) 洛迪赫达
Lodhika (22.13388, 70.63273) 洛迪卡
Lingsugur (16.15876, 76.52174) 林苏古尔
Limodra (21.3554, 73.00648) 利莫德拉
Limkheda (22.83456, 73.99213) 林克赫达
Limbdi (22.56507, 71.81076) 林布迪
Lilia (21.53678, 71.36362) 利利亚
Leteri (24.05979, 77.40858) 莱特里
Lelanga (22.39197, 83.58078) 勒兰加
Leh (34.16504, 77.58402) 列城
Lawar Khas (29.11091, 77.77767) 劳尔卡斯
Lawan (21.64137, 82.34123) 拉万
Laungowal (30.19393, 75.68089) 朗戈瓦尔
Latur (18.39721, 76.56784) 拉图尔
Lathi (21.7231, 71.38843) 拉提
Latehar (23.74423, 84.49984) 拉特哈尔
Lasalgaon (20.1427, 74.23946) 拉萨尔冈
Lar (26.20394, 83.96906) 拉尔
Lanja (16.86086, 73.54993) 兰贾
Lalsot (26.55951, 76.32915) 拉尔索特
Lalpur (22.19073, 69.96351) 拉尔普尔
Lalitpur (24.69007, 78.41915) 拉利特普尔
Lalgudi (10.87419, 78.81935) 拉尔古迪
Lalgola (24.42244, 88.25238) 拉尔戈拉
Lalganj (25.86894, 85.17394) 拉尔甘杰
Lalam (9.71667, 76.7) 拉拉姆
Lala (24.55418, 92.61592) 拉拉
Lakshmeshwar (15.12689, 75.46935) 拉克什梅什瓦尔
Lakshettipet (18.86667, 79.21667) 拉克谢蒂佩特
Laksar (29.7587, 78.04148) 拉克萨尔
Lakhyabad (23.66667, 86.66667) 拉赫亚巴德
Lakhtar (22.85683, 71.78844) 拉赫塔尔
Lakhnadon (22.60049, 79.60094) 拉赫纳顿
Lakhna (26.64822, 79.1477) 拉赫纳
Lakhipur (26.03001, 90.30611) 拉希普尔
Lakhimpur (27.94822, 80.77935) 拉希姆普尔
Lakheri (25.67237, 76.17692) 拉赫里
Lakhanpur (22.98791, 83.03563) 拉汉普尔
Laharpur (27.70827, 80.90256) 拉哈尔普尔
Ladwa (29.9935, 77.04563) 拉德瓦
Ladnun (27.65312, 74.39993) 拉德农
Laxmangarh (27.82294, 75.02754) 拉克斯曼加尔
Kyelang (32.5717, 77.02448) 基朗
Kuzhithurai (8.31792, 77.19192) 库日图赖
Koothanallur (10.7199, 79.5157) 库塔纳卢尔
Kuttampuzha (10.15033, 76.73544) 库塔姆普扎
Kuttalam (8.9303, 77.26951) 库塔拉姆
Kutiyana (21.6241, 69.98494) 库蒂亚纳
Kutiatodu (9.8, 76.33333) 库蒂亚托杜
Kusmi (23.28391, 83.9083) 库斯米
Kushtagi (15.75623, 76.19112) 库什塔吉
Kushalnagar (12.45795, 75.95904) 库沙尔纳加尔
Kushalgarh (23.19899, 74.45074) 库沙尔加尔
Kurud (20.83073, 81.72212) 库鲁德
Kurnool (15.82887, 78.03602) 库尔努尔
Kurinjippadi (11.55028, 79.59066) 库林吉帕迪
Kurgunta (17.19321, 77.35772) 库尔贡塔
Kurduvadi (18.09339, 75.41567) 库尔杜瓦迪
Kurara (25.98046, 79.98984) 库拉拉
Kurandvad (16.68317, 74.58892) 库兰德瓦德
Kuppam (12.74931, 78.34189) 库帕姆
Kunnattur (12.34782, 78.51046) 昆纳图尔
Kunnamkulam (10.64667, 76.06695) 昆纳姆库拉姆
Kunnamangalam (11.30459, 75.87772) 昆纳曼加拉姆
Kunkuri (22.74199, 83.95099) 昆库里
Kunigal (13.02319, 77.02518) 库尼加尔
Kundla (21.34222, 71.30633) 昆德拉
Kundgol (15.25612, 75.24735) 昆德戈尔
Kundarkhi (28.68304, 78.78559) 昆达尔基
Kumta (14.42853, 74.4189) 库姆塔
Kumsi (14.05455, 75.39992) 库姆西
Kumher (27.31657, 77.37079) 库姆赫尔
Kumhari (21.26667, 81.51667) 库姆哈里
Kumbhraj (24.37338, 77.04841) 昆布拉杰
Kumbakonam (10.96209, 79.39124) 昆巴科南
Kumaralingam (10.48936, 77.3499) 库马拉林加姆
Kulu (39.09513, 33.07989) 库鲁
Kulti (23.73166, 86.84372) 库尔提
Kulpahar (25.32007, 79.63931) 库尔帕哈尔
Kulittalai (10.93487, 78.41251) 库利塔莱
Kulgam (33.64456, 75.01923) 库尔甘
Kulattur (9.0032, 78.1928) 库拉图尔
Kukshi (22.20677, 74.75788) 库克希
Kukatpally (17.48486, 78.41376) 库卡特帕利
Kuju (23.72536, 85.51023) 库朱
Kudligi (14.905, 76.38527) 库德利吉
Kudal (16.01148, 73.68867) 库达尔
Kudachi (16.62784, 74.85408) 库达奇
Kud (33.07246, 75.28727) 库德
Kuchera (26.98747, 73.97108) 库切拉
Kuchaman (27.14745, 74.85655) 库查曼
Kuchaiburi (22.26675, 86.17385) 库柴布里
Krishnarajpet (12.66621, 76.4877) 克里希纳拉杰佩特
Krishnanagar (23.40576, 88.49073) 克里希纳纳加尔
Krishnagiri (12.51921, 78.21382) 克里希纳吉里
