Devanhalli (13.24655, 77.71183) 德万哈利
Devakottai (9.94704, 78.8233) 德瓦科泰
Devadanappatti (10.14673, 77.6439) 德瓦达纳帕蒂
Deulgaon Raja (20.01757, 76.03755) 德乌尔冈拉贾
Desur (12.43727, 79.48145) 德苏尔
Deshnoke (27.79836, 73.34297) 德什诺克
Dergaon (26.7, 93.96667) 德尔冈
Dera Mandi (28.43597, 77.17601) 德拉曼迪
Dera Gopipur (31.87919, 76.21871) 德拉戈皮普尔
Dera Nanak (32.03733, 75.02787) 德拉纳纳克
Depalpur (22.85095, 75.54224) 德帕尔普尔
Deori Khas (23.39017, 79.0163) 德奥里卡斯
Deoria (26.50167, 83.77936) 德奥里亚
Deori (22.09901, 82.2664) 德奥里
Deoranian (28.62989, 79.47648) 德奥拉尼安
Deolali (19.94404, 73.83441) 德奥拉利
Deokar (21.56667, 81.31667) 德奥卡尔
Deoghar (24.48983, 86.69902) 德奥加尔
Deogarh (21.53827, 84.73337) 德奥加尔
Deoband (29.69505, 77.67964) 德奥班德
Denkanikota (12.5301, 77.78887) 登卡尼科塔
Delvada (20.77544, 71.04646) 德尔瓦达
Delhi Cantonment (28.6, 77.13333) 德里军营
Delhi (28.65195, 77.23149) 德里
Dehu (18.71851, 73.76635) 德胡
Dehra Dun (30.32443, 78.03392) 德拉敦
Dediapada (21.62769, 73.59026) 德迪亚帕达
Debipur (24.25029, 88.61824) 德比普尔
Dayal Bagh (27.22122, 78.01095) 达亚尔巴格
Davorlim (15.27221, 73.99242) 达沃利姆
Davangere (14.46693, 75.92694) 达万盖雷
Dausa (26.89, 76.33584) 道萨
Daurala (29.11344, 77.70467) 道拉拉
Daund (18.46515, 74.58375) 道恩德
Daulatpur (26.50158, 67.97079) 道拉特普尔
Daulatabad (19.93611, 75.22148) 道拉特阿巴德
Daudnagar (25.03473, 84.40095) 道德纳加尔
Dattapur (20.78075, 78.1407) 达塔普尔
Datia (25.67312, 78.45908) 达蒂亚
Dataganj (28.0253, 79.40819) 达塔甘杰
Dasuya (31.81679, 75.6531) 达苏亚
Dasna (28.67736, 77.52252) 达斯纳
Daryapur (20.92489, 77.32644) 达里亚普尔
Darwha (20.31017, 77.77257) 达尔瓦
Darsi (15.76978, 79.67939) 达尔西
Darlawn (24.01336, 92.92439) 达尔劳恩
Darjiling (27.03333, 88.26667) 大吉岭
Dariba (24.94865, 74.1342) 达里巴
Darbhanga (26.15216, 85.89707) 达尔班加
Dantewara (18.88881, 81.35068) 丹特瓦拉
Dankaur (28.35121, 77.55508) 丹考尔
Dandeli (15.26667, 74.61667) 丹德利
Dinapore (25.63705, 85.04794) 迪纳普尔
Damoh (23.83312, 79.4419) 达莫
Damnagar (21.69232, 71.51747) 达姆纳加尔
Daltonganj (24.03971, 84.0658) 达尔通甘杰
Dalsingh Sarai (25.66795, 85.83636) 达尔辛萨赖
Dalmau (26.06477, 81.0298) 达尔毛
Dalkola (25.87577, 87.84009) 达尔科拉
Dalhousie (32.55219, 75.94663) 达尔豪西
Dakor (22.75268, 73.14967) 达科尔
Daitari (21.1, 85.75) 戴塔里
Dohad (22.83283, 74.25986) 多哈德
Dahegam (23.16903, 72.82161) 达赫加姆
Dahanu (19.96778, 72.71263) 达哈努
Dagshai (30.88431, 77.05228) 达格沙伊
Dadri (28.55257, 77.55403) 达德里
Dadra (20.32504, 72.96618) 达德拉
Dabwali (29.94906, 74.73832) 达布瓦利
Daboh (26.00239, 78.87658) 达博赫
Dabhol (17.58971, 73.18001) 达博尔
Dabhoi (22.18333, 73.43333) 达博伊
Dabhel (20.40953, 72.88339) 达贝尔
Cuttack (20.46497, 85.87927) 卡塔克
Curtorim (15.27563, 74.02158) 库尔托里姆
Curti (15.41667, 74.01667) 库尔蒂
Curchorem (15.26349, 74.10875) 库尔乔雷姆
Cuncolim (15.1773, 73.99392) 昆科利姆
Kadapa (14.47995, 78.82346) 卡达帕
Cuddalore (11.75617, 79.76693) 卡达洛尔
Cortalim (15.40247, 73.90881) 科塔利姆
Kundapura (13.63126, 74.6902) 昆达普拉
Colva (15.27976, 73.92285) 科尔瓦
Colovale (15.63522, 73.82426) 科洛瓦莱
Colonelganj (27.13432, 81.69868) 科洛内尔甘杰
Colgong (25.26328, 87.23264) 科尔贡
Calangute (15.5439, 73.7553) 卡兰古特
Coimbatore (11.00555, 76.96612) 哥印拜陀
Cochin (9.93988, 76.26022) 科钦
Clement Town (30.26361, 78.00862) 克莱门特镇
Churu (28.30415, 74.96718) 楚鲁
Churachandpur (24.33353, 93.66999) 楚拉昌德布尔
Chunar (25.12776, 82.8821) 楚纳尔
Vikasnagar (30.46944, 77.77275) 维卡斯纳加尔
Chuari Khas (32.43058, 76.01428) 楚阿里卡斯
Chotila (22.42347, 71.19641) 乔蒂拉
Chorwad (21.02947, 70.23302) 乔尔瓦德
Chorhat (24.42743, 81.66948) 乔尔哈特
Chopda (21.24578, 75.29946) 乔普达
Chopan (24.51954, 83.02287) 乔潘
