Khera Khurd (28.77555, 77.09967) - 克赫拉胡尔德
Bhorgarh (28.82926, 77.09521) - 博尔加尔
Bankner (28.85252, 77.07869) - 班克纳尔
Tikri Khurd (28.83539, 77.1195) - 提克里胡尔德
Kundli (28.86913, 77.12061) - 昆德利
Badh Malak (28.91981, 77.09577) - 巴德马拉克
Bankoli (28.81204, 77.14123) - 班科利
Bakhtawarpur (28.8234, 77.17539) - 巴赫塔瓦尔普尔
Ibrahimpur (28.77566, 77.17771) - 易卜拉欣普尔
Libaspur (28.75089, 77.14647) - 利巴斯普尔
Burari (28.7557, 77.19941) - 布拉里
Kanjhawala (28.73675, 77.00516) - 坎贾瓦拉
Auhammadpur Majri (28.72922, 77.03827) - 奥哈马德普尔马吉里
Mubarakpur Dobas (28.7098, 77.03936) - 穆巴拉克普尔多巴斯
Rani Khera (28.70604, 77.02584) - 拉尼克赫拉
Gheora (28.69408, 77.00156) - 格奥拉
Puth Kalan (28.7116, 77.07887) - 普特卡兰
Kamaruddinnagar (28.67695, 77.05372) - 卡马鲁丁纳加尔
Mundka (28.68012, 77.02975) - 蒙德卡
Bakarwala (28.6678, 77.02011) - 巴卡瓦拉
Nilithi (28.65201, 77.05644) - 尼利提
Baprola (28.64133, 77.01415) - 巴普罗拉
Hashtsal (28.63406, 77.05771) - 哈什特萨尔
Chhawala (28.56277, 77.00334) - 查瓦拉
Rijokri (28.51387, 77.1151) - 里乔克里
Kapas Herd (28.52614, 77.08396) - 卡帕斯赫德
Kirari Sulemannagar (28.69736, 77.0648) - 基拉里苏莱曼纳加尔
Sahibabad Daulotpur (28.74705, 77.11465) - 萨希巴巴德道洛特普尔
Mukandpur (28.73944, 77.18315) - 穆坎德普尔
Bhalswa Jahangirpur (28.73558, 77.16682) - 巴尔斯瓦贾汉吉尔普尔
Muradabad Pahari (28.56456, 77.15126) - 穆拉达巴德帕哈里
Tighri (28.51225, 77.24083) - 提格里
Saiyadul-ajaib (28.51923, 77.20352) - 赛亚杜尔阿贾伊布
Defence Colony (28.57144, 77.23272) - 防御殖民地
Sadatpur Gujran (28.72834, 77.24817) - 萨达特普尔古杰兰
Jharoda Mazra Burari (28.73014, 77.20911) - 贾罗达马兹拉布拉里
Karawalnagar (28.72712, 77.27047) - 卡拉瓦尔纳加尔
Jiwanpur (28.71448, 77.28489) - 吉万普尔
Gokalpur (28.7029, 77.28961) - 戈卡尔普尔
Mandoli (28.70275, 77.30995) - 曼多利
Babarpur (28.68747, 77.28558) - 巴巴尔普尔
Chilla Soroda Bangar (28.59572, 77.30189) - 奇拉索罗达邦加尔
Dalupura (28.6057, 77.31901) - 达卢普拉
Ali (28.5161, 77.30993) - 阿里
Molarband (28.50295, 77.31442) - 莫拉班德
Jaitpur (28.50647, 77.32976) - 贾伊特普尔
Kondli (28.61167, 77.32667) - 孔德利
Gharroli (28.6167, 77.33207) - 加罗利
Pyala (28.2663, 77.31243) - 皮亚拉
Tilpat (28.46513, 77.33285) - 提尔帕特
Mithepur (28.4974, 77.31856) - 米特普尔
Satraud Khurd (29.13088, 75.78775) - 萨特劳德胡尔德
Satraud Kalan (29.10295, 75.81474) - 萨特劳德卡兰
Mayar (29.10465, 75.86388) - 马亚尔
Bhakli (28.41654, 76.47543) - 巴克利
Sarwar (26.24252, 75.12875) - 萨尔瓦尔
Benipur (26.05509, 86.14557) - 贝尼普尔
Rosera (25.75494, 86.03155) - 罗塞拉
Mahnar Bazar (25.60962, 85.48076) - 马赫纳尔巴扎尔
Mav Patoda (19.46009, 76.19162) - 马夫帕托达
Kanwala (30.34781, 76.79448) - 坎瓦拉
Kardhan (30.31768, 76.86596) - 卡尔丹
Nanhera (30.3192, 76.84798) - 南赫拉
Bablai (30.35729, 76.879) - 巴布莱
Boh (30.38093, 76.87999) - 博赫
Jandli (30.3571, 76.79639) - 简德利
Rawan (21.68405, 82.08741) - 拉万
Chikhlakasa (20.59998, 81.07781) - 奇克拉卡萨
Ahiwara (21.35799, 81.41794) - 阿希瓦拉
Birgaon (21.30758, 81.62793) - 比尔冈
Tisauli (27.34364, 79.03014) - 提绍利
Nadrala (27.41785, 79.15205) - 纳德拉拉
Nashirabad (20.58624, 77.15315) - 纳希拉巴德
Ajani Budruk (20.58607, 77.15187) - 阿贾尼布德鲁克
Anjani Khurd (20.06688, 76.47855) - 安贾尼胡尔德
Anwari (25.15324, 83.62295) - 安瓦里
Nagla Panchi (27.11336, 79.12113) - 纳格拉潘奇
Ugrakheri (29.378, 77.00934) - 乌格拉赫里
Ladpur (28.73809, 76.99526) - 拉德普尔
Tikri Kalan (28.68355, 76.97007) - 提克里卡兰
Nangli Sakrawat (28.62169, 76.9923) - 南格里萨克拉瓦特
Pasaur (28.57292, 76.77588) - 帕绍尔
Ojwah (28.56938, 76.9084) - 奥杰瓦
Bhardua (24.92002, 83.79478) - 巴尔杜阿
Kumbalam (9.9063, 76.31127) - 昆巴拉姆
Aroor (9.8694, 76.30498) - 阿鲁尔
Kadakkavoor (8.67921, 76.76714) - 卡达卡沃尔
Kalavoor (9.57046, 76.32756) - 卡拉沃尔
Kalamassery (10.0614, 76.32631) - 卡拉马塞里
Bhagal Jagana (24.12607, 72.38617) - 巴加尔贾加纳
Chhapi (24.03225, 72.40063) - 查皮
Asan Khurd (29.40445, 76.87323) - 阿桑胡尔德
Chhuria Kalan (21.0053, 80.63036) - 楚里亚卡兰
Sirgitti (22.04713, 82.14871) - 西尔吉蒂
Lingiadih (22.07748, 82.17605) - 林吉亚迪赫
Tifra (22.06312, 82.13129) - 提夫拉
Piriapara (22.97059, 82.70039) - 皮里亚帕拉
Rahud (21.81261, 82.50629) - 拉胡德
Tundra (21.67687, 82.60919) - 图德拉
Pakhanjur (20.03254, 80.62109) - 帕坎朱尔
