Piparia (22.00241, 81.32603) 皮帕里亚
Sargaon (21.90086, 81.97724) 萨尔冈
Baghaula (28.20879, 77.30791) 巴加乌拉
Sanivarapupeta (16.73047, 81.07769) 萨尼瓦拉普佩塔
Satrampadu (16.70591, 81.07382) 萨特兰帕杜
Tangellamudi (16.72121, 81.10517) 唐格拉穆迪
Dwaraka Tirumala (16.95427, 81.25585) 德瓦拉卡蒂鲁马拉
Akasahebpet (17.50455, 82.56597) 阿卡萨赫布佩特
Peddaboddepalle (17.66064, 82.62957) 佩达博德帕莱
Nakkapalle (17.40792, 82.71663) 纳卡帕莱
Ibrahimpatnam (16.58303, 80.51432) 易卜拉欣帕特南
Guntupalle (16.56794, 80.54758) 冈图帕莱
Ramavarappadu (16.52086, 80.68078) 拉马瓦拉帕杜
Poranki (16.47771, 80.70755) 波兰基
Tadigadapa (16.47129, 80.69695) 塔迪加达帕
Bacheli (18.68435, 81.26861) 巴切利
Malicherla (18.07098, 83.40023) 马利切拉
Chintalavalasa (18.06701, 83.40907) 欣塔拉瓦拉萨
Ponduru (18.34957, 83.75649) 蓬杜鲁
Balaga (18.31545, 83.89326) 巴拉加
Tummikapalle (17.91346, 83.179) 图米卡帕莱
Mulaguntapadu (15.26405, 80.01956) 穆拉贡塔帕杜
Cherthala (9.68444, 76.33558) 切尔塔拉
Kunnumma (9.35672, 76.41343) 昆努玛
Sanrha (25.79787, 84.75045) 桑拉
Pareo (25.55819, 84.8017) 帕雷奥
Hat Saraiya (26.7946, 84.48534) 哈特萨拉亚
Tola Mansaraut (26.80129, 84.53909) 托拉曼萨劳特
Kargahia Purab (26.78871, 84.52983) 卡尔加希亚普拉布
Janpur (25.29578, 84.87894) 贾恩普尔
Makhdumpur (25.06567, 84.97247) 马赫杜姆普尔
Saraiya (24.80118, 84.0816) 萨拉亚
Madhurampur Dehri (24.96899, 84.1964) 马杜兰普尔德赫里
Telkap (24.70477, 84.00931) 特尔卡普
Dariapur (25.3852, 85.96403) 达里亚普尔
Narayanapuram (14.70404, 77.578) 纳拉亚纳普拉姆
Kakkalapalle (14.64152, 77.56684) 卡卡拉帕莱
Papampeta (14.68553, 77.578) 帕潘佩塔
Somandepalle (14.00774, 77.60846) 索曼德帕莱
Mathurapur (25.87099, 85.78816) 马图拉普尔
Bhuindhara (25.85248, 85.76055) 布因达拉
Mansur Chak (25.62314, 85.92076) 曼苏尔查克
Bhadauni (24.87544, 85.53369) 巴达乌尼
Satghara (26.39772, 86.16784) 萨特加拉
Bihat (25.42534, 86.02083) 比哈特
Malhipur (25.40691, 86.02344) 马尔希普尔
Laruara (25.45398, 86.12121) 拉鲁阿拉
Azhiyur (11.69348, 75.56013) 阿齐尤尔
Nohsa (25.56528, 85.05599) 诺赫萨
Kurthaur (25.56205, 85.12165) 库尔塔乌尔
Maidan Garhi (28.5003, 77.20558) 迈丹加里
Abrama (20.85865, 72.90648) 阿布拉马
Phusro (23.75644, 86.0051) 普苏罗
Hawai (27.88677, 96.8017) 哈瓦伊
Alangad (10.10192, 76.29104) 阿兰加德
Anklav (22.37738, 73.00072) 安克拉夫
Longleng (26.48989, 94.81772) 隆伦
Barauni (25.4709, 85.976) 巴劳尼
Boriavi (22.61124, 72.93283) 博里亚维
Kanjari (22.61243, 72.92107) 坎贾里
Udiana (26.46089, 91.60598) 乌迪亚纳
Tihu (26.47584, 91.26686) 提胡
Tangla (26.65693, 91.91381) 唐格拉
Talod (23.3514, 72.94999) 塔洛德
Savarkundla (21.33726, 71.3035) 萨瓦尔昆德拉
Sarthebari (26.36293, 91.22309) 萨尔特巴里
Saputara (20.57843, 73.75066) 萨普塔拉
Resubelpara (25.90404, 90.60747) 雷苏贝尔帕拉
Pathsala (26.51143, 91.18017) 帕特萨拉
Patdi (23.19602, 71.79171) 帕特迪
Panoli (21.53117, 72.96437) 帕诺利
Cherlopalle (13.61366, 79.36523) 切尔洛帕莱
Devsar (20.78507, 72.98398) 德夫萨尔
Donkamokam (25.93338, 92.70736) 东卡莫卡姆
Dimaruguri (26.34515, 92.71487) 迪马鲁古里
Hatsingimari (25.70986, 89.90078) 哈辛吉马里
Jamjodhpur (21.90219, 70.0357) 贾姆乔德普尔
Kalpeni (10.0826, 73.64316) 卡尔佩尼
Madhapar (23.23756, 69.69946) 马达帕尔
Maktampur (21.70507, 73.01188) 马克坦普尔
Manendragarh (23.21337, 82.20232) 马嫩德拉加尔
Minicoy (8.28899, 73.0617) 米尼科伊
Chalthan (21.15421, 72.96141) 查尔坦
Changlang (27.13177, 95.73486) 昌朗
Joka (22.4531, 88.30227) 乔卡
Nagarukhra City (22.93938, 88.63776) 纳加鲁赫拉市
Nahira (26.10931, 91.47045) 纳希拉
Mamidalapadu (15.85409, 78.01481) 马米达拉帕杜
Bhanumukkala (15.31189, 78.22772) 巴努穆卡拉
Veparala (14.85718, 78.34806) 维帕拉拉
Dommaranandyala (14.86411, 78.36408) 多马拉南迪亚拉
Moragudi (14.86259, 78.37878) 莫拉古迪
Gopavaram (14.78412, 78.5729) 戈帕瓦拉姆
Khata Khedi (23.87202, 77.29002) 卡塔赫迪
Garha Brahman (23.86873, 77.35731) 加尔哈布拉曼
Chandpura (23.85326, 77.29714) 昌德普拉
Patalpani (23.84141, 77.35396) 帕塔尔帕尼
Mangampeta (14.01578, 79.3137) 曼甘佩塔
Bhuja Bhuja Nellore (14.39468, 79.9399) 布贾布贾内洛尔
Mangasamudram (13.2291, 79.09087) 曼加萨穆德拉姆
