Podaturpet (13.28169, 79.48538) 波达图尔佩特
Vinnamala (13.90738, 79.90855) 维纳马拉
Sector (28.5708, 77.3261) 赛克特
Tetra (22.87145, 84.75888) 特特拉
Jiribam (24.80427, 93.12148) 吉里巴姆
Kamjong (24.85846, 94.51549) 甘琼
Pherzawl (24.26227, 93.18873) 费尔扎尔
Chandel (24.32987, 94.00379) 昌德尔
Tengnoupal (24.3855, 94.1472) 腾诺帕尔
Garamur (26.94891, 94.17205) 加拉穆尔
Bishramganj (23.60582, 91.34355) 比什拉姆甘杰
Ampati (25.4623, 89.93325) 安帕蒂
Khliehriat (25.35776, 92.36643) 克利赫里亚特
Shahdara (28.60311, 77.13988) 沙赫达拉
Hamren (25.84696, 92.57409) 哈姆伦
Pangin (28.21022, 94.98873) 潘金
Rohini (28.74322, 77.06778) 罗希尼
Harina Pashdal Bar (21.9021, 87.7062) 哈里纳帕什达尔巴尔
Shi Yomi (28.52999, 94.37322) 施尤米
Lemmi (27.14665, 93.24643) 勒米
Mulugu (18.191, 79.943) 穆卢古
Kallakurichi (11.73379, 78.95925) 卡拉库里奇
Hnahthial (22.91, 92.76) 纳提亚尔
Madhavkampa (23.19148, 73.22759) 马达夫坎帕
Alang (21.39878, 72.17544) 阿朗
Koonimedu (12.08519, 79.88925) 库尼梅杜
Badian (9.86472, 123.39639) 巴迪安
S. Rayavaram (17.4546, 82.8062) S. 拉亚瓦拉姆
Reddivaripalle (13.6031, 79.0466) 雷迪瓦里帕莱
Seethanagaram (17.1767, 81.6925) 西塔纳加拉姆
Pedda bhogili (18.6612, 83.3784) 佩达博吉利
Amaravati (16.514, 80.516) 阿马拉瓦蒂
Anjani Budruk (20.17216, 76.64777) 安贾尼布德鲁克
Andrott (10.81186, 73.67408) 安德罗特
Amini (11.11408, 72.71907) 阿米尼
Agatti (10.83522, 72.18217) 阿加蒂
Kadmat (11.22467, 72.77482) 卡德马特
Kiltan (11.48577, 73.00384) 基尔坦
Chetlat (11.68828, 72.70957) 切特拉特
Ajani Khurd (18.6199, 76.94125) 阿贾尼库尔德
Wadgaon Tejan (20.05214, 76.51067) 瓦德冈特詹
Walhur (20.05593, 76.48317) 瓦尔胡尔
Udanapur (20.05097, 76.49092) 乌达纳普尔
Koyali (20.02945, 76.49074) 科亚利
Pimpalkhuta (20.01453, 76.49991) 平帕尔库塔
Ajani (18.25634, 77.13706) 阿贾尼
Naigaon Dattapur (20.24404, 76.57483) 奈高达塔普尔
Shivani Pisa (20.0955, 76.45295) 希瓦尼皮萨
Wadgaon Sarhad (19.90355, 76.48233) 瓦德冈萨哈德
Nasvadi (22.04525, 73.73161) 纳斯瓦迪
Chirmiri (23.19073, 82.35314) 奇尔米里
Paramathi Velur (11.1916, 77.9563) 帕拉马蒂维卢尔
Kanayannur (9.96667, 76.26667) 卡纳扬努尔
Shahuwadi (16.90993, 73.94654) 沙胡瓦迪
Haveli (18.42966, 73.88218) 哈维利
Jaoli (17.94817, 73.62172) 贾奥利
Santrampur (23.19019, 73.89526) 桑特拉姆普尔
Nautan (26.72028, 84.47538) 瑙坦
Chanpatia (26.94442, 84.5377) 昌帕蒂亚
7LC (29.40303, 73.60256) 7LC
Talala (21.05473, 70.52903) 塔拉拉
Becharaji (23.49938, 72.04469) 贝查拉吉
Pakridayal (26.56271, 85.0452) 帕克里达亚尔
Motipur (26.25267, 85.16076) 莫蒂普尔
Bodeli (22.27311, 73.71577) 博德利
Bahadurpur (26.11519, 85.90236) 巴哈杜尔普尔
Anini (28.79792, 95.90228) 阿尼尼
Tato (28.52754, 94.37249) 塔托
Pipalibari (26.37651, 91.33574) 皮帕利巴里
Lanka (25.92907, 92.94856) 兰卡
Longding (26.88412, 95.31946) 隆丁
Deomali (27.1931, 95.46719) 德奥马利
Naryanpur (26.9501, 93.85766) 纳里安普尔
Raga (27.79931, 94.07426) 拉加
Sagalee (27.2338, 93.49654) 萨加利
Seppa (27.36173, 93.03991) 塞帕
Rajani (20.09158, 76.47782) 拉贾尼
Saitual (23.68307, 92.96712) 赛图阿尔
Balli Patti (26.76228, 82.78782) 巴利帕蒂
Belthangady (12.98799, 75.28241) 贝尔坦加迪
Kim (21.40081, 72.92682) 金
Palod (21.38465, 72.95837) 帕洛德
Pipodara (21.36052, 72.95977) 皮波达拉
Sayan (21.31977, 72.88167) 萨扬
Bakultala (12.50399, 92.8617) 巴库塔拉
Prothrapur (11.61797, 92.72442) 普罗特拉普尔
Garacharma (11.61374, 92.70358) 加拉查尔马
Mulakuddu (17.91609, 83.4488) 穆拉库杜
Bowluvada (17.74546, 82.98858) 博卢瓦达
Arempudi (17.26963, 82.37514) 阿伦普迪
Jarjapupeta (18.18071, 83.44025) 贾尔贾普佩塔
Kanapaka (18.11457, 83.37431) 卡纳帕卡
Tada Khandrika (13.58855, 80.03368) 塔达坎德里卡
Vaddeswaram (16.44734, 80.61273) 瓦德斯瓦拉姆
Chidiga (16.96295, 82.21243) 奇迪加
Kantabamsuguda (18.32264, 82.88259) 坎塔巴姆苏古达
Murakambattu (13.24631, 79.11874) 穆拉坎巴图
Chennamukkapalle (14.05954, 78.76981) 切纳穆卡帕莱
Yerrabalem (13.7046, 80.0186) 耶拉巴莱姆
Gavaravaram (16.71632, 81.08308) 加瓦拉瓦拉姆
