Poldasht (39.348, 45.071) 波尔达什特
Pishva (35.308, 51.7267) 皮什瓦
Piranshahr (36.701, 45.1413) 皮兰沙赫尔
Paveh (35.0434, 46.3565) 帕韦
Parsabad (39.6482, 47.9174) 帕尔萨巴德
Osku (37.91504, 46.12258) 奥斯库
Oshnaviyeh (37.0397, 45.0983) 奥什纳维耶
Orumiyeh (37.55274, 45.07605) 乌尔米耶
Omidiyeh (30.76277, 49.70226) 奥米迪耶
Nowshahr (36.64852, 51.49621) 努沙赫尔
Nosratabad (29.9, 59.98333) 诺斯拉特阿巴德
Neyshabur (36.21329, 58.79575) 内沙布尔
Neyriz (29.1988, 54.3278) 内里兹
Neqab (36.70792, 57.42146) 内卡布
Nazarabad (35.95411, 50.60607) 纳扎拉巴德
Natanz (33.51118, 51.91808) 纳坦兹
Nashtarud (36.7509, 51.02362) 纳什塔鲁德
Naqadeh (36.9553, 45.388) 纳卡代
Namin (38.4269, 48.4839) 纳明
Na'in (32.86006, 53.08749) 纳因
Nahavand (34.19088, 48.37446) 纳哈万德
Maraveh Tappeh (37.9041, 55.95596) 马拉韦塔佩
Mollasani (31.5847, 48.88587) 莫拉萨尼
Mohr (27.5552, 52.8836) 莫赫尔
Mohammadabad (28.66877, 59.07341) 穆罕默德阿巴德
Minudasht (37.23015, 55.37211) 米努达什特
Minab (27.13104, 57.08716) 米纳布
Mianeh (37.421, 47.715) 米亚内
Miandoab (36.96667, 46.10961) 米安多阿布
Miandasht (33.07612, 50.16432) 米安达什特
Miab (38.7011, 45.8019) 米阿布
Meybod (32.25014, 54.01658) 梅博德
Meshgin Shahr (38.399, 47.682) 梅什金沙赫尔
Mahriz (31.58428, 54.4428) 马赫里兹
Mehran (33.1222, 46.1646) 梅赫兰
Masuleh (37.15497, 48.98982) 马苏莱
Masjed Soleyman (31.9364, 49.3039) 马斯吉德苏莱曼
Masiri (30.24493, 51.52158) 马西里
Bardsir (29.92266, 56.57433) 巴尔德西尔
Marvdasht (29.8742, 52.8025) 马尔夫达什特
Marivan (35.51829, 46.18298) 马里万
Marand (38.4329, 45.7749) 马兰德
Maragheh (37.39206, 46.23909) 马拉盖
Manujan (27.40698, 57.50128) 马努詹
Manjil (36.74445, 49.40082) 曼吉尔
Malekan (37.14258, 46.10345) 马莱坎
Malayer (34.30158, 48.82166) 马拉耶尔
Malard (35.6659, 50.9767) 马拉德
Maku (39.28992, 44.46035) 马库
Mahneshan (36.7444, 47.6725) 马赫内尚
Mahallat (33.91108, 50.45317) 马哈拉特
Mahabad (36.7631, 45.7222) 马哈巴德
Lordegan (31.51338, 50.82672) 洛尔德甘
Likak (30.8949, 50.0931) 利卡克
Landeh (30.98215, 50.4206) 兰德
Shahre Qadim-e Lar (27.68336, 54.34172) 拉尔古城
Langarud (37.19548, 50.15263) 兰加鲁德
Lamerd (27.334, 53.179) 拉梅尔德
Lali (32.32981, 49.09324) 拉利
Lahijan (37.20416, 50.00919) 拉希詹
Kute `Abdollah (31.23917, 48.65639) 库特阿卜杜拉
Kuhdasht (33.53335, 47.60999) 库赫达什特
Kuhbanan (31.41029, 56.28255) 库赫巴南
Kord Kuy (36.79307, 54.11214) 科尔德库伊
Komijan (34.72142, 49.32653) 科米詹
Kish (26.55778, 54.01944) 基什
Kia Kola (36.58028, 52.81253) 基亚科拉
Khowy (38.5503, 44.9521) 霍伊
Khowrmuj (28.6543, 51.38) 霍尔穆杰
Khur (33.77512, 55.08329) 胡尔
Khvansar (33.22052, 50.31497) 霍万萨尔
Khusf (32.78108, 58.89002) 胡斯夫
Khorramshahr (30.44079, 48.18428) 霍拉姆沙赫尔
Khorramabad (33.48778, 48.35583) 霍拉马巴德
Khonj (27.8913, 53.4344) 洪吉
Khondab (34.3928, 49.1841) 洪达布
Khomeyn (33.63889, 50.08003) 霍梅恩
Khomarlu (39.1489, 47.0347) 霍马尔鲁
Kherameh (29.49896, 53.31199) 赫拉梅
Bandare Khamir (26.9521, 55.5851) 哈米尔港
Khalkhal (37.61837, 48.52928) 哈尔哈尔
Kermanshah (34.31417, 47.065) 克尔曼沙赫
Kerman (30.28321, 57.07879) 克尔曼
Kerende Gharb (34.2842, 46.2423) 克伦德加尔布
Kazerun (29.61919, 51.6535) 卡泽鲁恩
Kashmar (35.23831, 58.46558) 卡什马尔
Karaj (35.83266, 50.99155) 卡拉季
Kangavar (34.5043, 47.9653) 康加瓦尔
Kangan (27.83434, 52.06306) 康甘
Kamyaran (34.79535, 46.93682) 卡米亚兰
Kaleybar (38.86509, 47.03909) 卡莱巴尔
Kalaleh (37.37899, 55.493) 卡拉莱
Kujuvar (38.05993, 46.13809) 库朱瓦尔
Kabudarahang (35.20924, 48.72341) 卡布达拉亨
Eyvan (33.8272, 46.3097) 埃万
Juybar (36.64088, 52.91206) 朱伊巴尔
Joghtay (36.63619, 57.07284) 乔赫泰
Khark (29.26139, 50.33056) 哈尔克
Jask (25.64533, 57.77552) 贾斯克
Jongiyeh (31.25583, 48.61667) 乔吉耶
