Bandare Deylam (30.0542, 50.159) 班达尔代拉姆
Bandare Anzali (37.47318, 49.45785) 班达尔安扎利
Bandar Abbas (27.1865, 56.2808) 班达尔阿巴斯
Bam (29.106, 58.357) 巴姆
Bajestan (34.51639, 58.1845) 巴杰斯坦
Bahar (34.9072, 48.4414) 巴哈尔
Baghe Malek (31.52398, 49.88558) 巴格马莱克
Baft (29.2331, 56.6022) 巴夫特
Bafq (31.6035, 55.40249) 巴夫克
Babolsar (36.69929, 52.65011) 巴博尔萨尔
Babol (36.55102, 52.6786) 巴博尔
Azna (33.6095, 48.9307) 阿兹纳
Hashtrud (37.4779, 47.0508) 哈什特鲁德
Shazand (33.93132, 49.40629) 沙赞德
Avaj (35.57959, 49.22313) 阿瓦杰
Astanehye Ashrafiyeh (37.26318, 49.94325) 阿斯塔内赫阿什拉菲耶
Ashtian (34.52298, 50.00608) 阿什蒂安
Ashkhaneh (37.5615, 56.92125) 阿什哈内
Bandare `Asaluyah (27.47383, 52.60782) 班达尔阿萨卢耶
Asadiyeh (32.9428, 59.71998) 阿萨迪耶
Orzu'iyeh (28.45318, 56.35994) 奥尔祖耶
Arsanjan (29.9124, 53.3085) 阿尔桑詹
Ardestan (33.3761, 52.3694) 阿尔德斯坦
Ardal (31.99969, 50.66231) 阿尔达尔
Ardakan (32.31001, 54.01747) 阿尔达坎
Ardabil (38.2498, 48.2933) 阿尔达比勒
Aran Bidgol (34.05751, 51.48291) 阿兰比德戈尔
Arak (34.09493, 49.69809) 阿拉克
Aradan (35.24941, 52.49422) 阿拉丹
Anuch (34.10829, 48.57375) 阿努奇
Andimeshk (32.4615, 48.35368) 安迪梅什克
`Anbarabad (28.4759, 57.848) 安巴拉巴德
Anar (30.87066, 55.27025) 阿纳尔
Amol (36.46961, 52.35072) 阿莫尔
Amlash (37.0966, 50.18709) 阿姆拉什
Shahriar (35.65884, 51.05775) 沙赫里亚尔
Aligudarz (33.404, 49.69179) 阿里古达尔兹
Aliabade Katul (36.91011, 54.86737) 阿里阿巴德卡图尔
Alavijeh (33.0548, 51.08331) 阿拉维杰
Aleshtar (33.86419, 48.26258) 阿莱什塔尔
Akbarabad (29.2464, 52.7793) 阿克巴拉巴德
Ajab Shir (37.4776, 45.8943) 阿贾布希尔
Ahvaz (31.31901, 48.6842) 阿瓦士
Ahram (28.8826, 51.2746) 阿赫拉姆
Ahar (38.4774, 47.0699) 阿哈尔
Aghajari (30.7006, 49.8315) 阿加贾里
Abyek (36.06667, 50.55) 阿比耶克
Abhar (36.1468, 49.218) 阿布哈
Abdanan (32.9926, 47.4198) 阿布达南
'Abas Abad (36.72769, 51.10574) 阿巴斯阿巴德
Abbar (36.92627, 48.95832) 阿巴尔
Abarkuh (31.1289, 53.2824) 阿巴尔库
Abadeh (31.1608, 52.6506) 阿巴代
Abadan (30.3392, 48.3043) 阿巴丹
Kuh Sefid (29.2762, 56.8014) 库赫塞菲德
Showt (39.2192, 44.77) 舒特
Pasargad (30.20194, 53.18) 帕萨尔加德
Lumar (33.56522, 46.814) 卢马尔
Shahrake Pabedana (31.13444, 56.39806) 沙赫拉克帕贝达纳
Sepidan (30.25961, 51.98491) 塞皮丹
Eqbaliyeh (35.3022, 51.5358) 埃克巴利耶
Badreh (33.30573, 47.03708) 巴德雷
Shahin Shahr (32.85788, 51.5529) 沙欣沙赫尔
Zarrin Shahr (32.39057, 51.37654) 扎林沙赫尔
Tiran (32.70328, 51.15381) 提兰
Rehnan (32.68325, 51.60158) 雷赫南
Shahreza (32.00877, 51.86407) 沙赫雷扎
Qahderijan (32.5773, 51.45367) 卡赫德里詹
Najafabad (32.63464, 51.36525) 纳贾法巴德
Mobarakeh (32.34612, 51.50205) 莫巴拉克
Khomeyni Shahr (32.6856, 51.53609) 霍梅尼沙赫尔
Kelishad va Sudarjan (32.55118, 51.52758) 凯利沙德和苏达尔詹
Falavarjan (32.5553, 51.50973) 法拉瓦尔詹
Isfahan (32.65246, 51.67462) 伊斯法罕
Dorcheh Piaz (32.61528, 51.55556) 多尔切皮亚兹
Abrisham (32.55613, 51.57325) 阿布里沙姆
Eslamshahr (35.55222, 51.23504) 伊斯兰沙赫尔
Shahrake Bakharz (34.99204, 60.31714) 沙赫拉克巴哈尔兹
Zabol (31.0306, 61.4949) 扎博尔
Zahedan (29.4963, 60.8629) 扎黑丹
Zehak (30.894, 61.6804) 泽哈克
Zaboli (27.131, 61.67445) 扎博利
Torbate Jam (35.244, 60.6225) 托尔巴特贾姆
Taybad (34.74, 60.7756) 泰巴德
Suran (35.29193, 36.74848) 苏兰
Sarbaz (26.63228, 61.25787) 萨尔巴兹
Saravan (27.37089, 62.33096) 萨拉万
Sarakhs (36.5449, 61.1577) 萨拉赫斯
Rasak (26.23682, 61.39901) 拉萨克
Qasre Qand (26.24833, 60.7525) 卡斯尔甘德
Nikshahr (26.2258, 60.2143) 尼克沙赫尔
Nehbandan (31.54185, 60.03648) 内赫班丹
Mirjaveh (29.0148, 61.44959) 米尔贾韦
Konarak (25.3604, 60.3995) 科纳拉克
Khvaf (34.5763, 60.14093) 霍瓦夫
Iranshahr (27.20245, 60.68476) 伊朗沙赫尔
Dust Mohammad Khan (31.1447, 61.7925) 杜斯特穆罕默德汗
Chabahar (25.2919, 60.643) 查巴哈尔
Adimi (31.11144, 61.41189) 阿迪米
Mamuniyeh (35.30454, 50.49934) 马穆尼耶
