Mascalucia (37.57465, 15.04964) 马斯卡卢恰
Mascali (37.75794, 15.19662) 马斯卡利
Masainas (39.04993, 8.62924) 马萨伊纳斯
Marzi (39.17063, 16.30705) 马尔齐
Martone (38.35353, 16.288) 马尔托内
Martirano Lombardo (39.07469, 16.232) 隆巴多马尔蒂拉诺
Martirano (39.08119, 16.24829) 马尔蒂拉诺
Marsala (37.7992, 12.4367) 马尔萨拉
Marrubiu (39.75124, 8.63766) 马鲁比乌
Marittima (39.99609, 18.39895) 马里蒂马
Marineo (37.95185, 13.41781) 马里内奥
Marinella (37.59475, 12.84434) 马里内拉
Marina di Schiavonea (39.65, 16.53333) 斯基亚沃内亚滨海
Marina di Ragusa (36.78575, 14.55474) 拉古萨滨海
Monasterace Marina (38.43489, 16.57025) 莫纳斯特拉切滨海
Marina di Fuscaldo (39.42418, 16.00694) 富斯卡尔多滨海
Marina di Camerota (40.00356, 15.36717) 卡梅罗塔滨海
Marianopoli (37.5984, 13.9152) 马里亚诺波利
Marettimo (37.96782, 12.07259) 马雷蒂莫
Marcellinara (38.92574, 16.48757) 马尔切利纳拉
Marcedusa (39.02675, 16.83612) 马尔切杜萨
Marausa (37.94166, 12.50948) 马劳萨
Maratea (39.99932, 15.71539) 马拉泰亚
Marano Principato (39.29782, 16.1743) 普林奇帕托马拉诺
Marano Marchesato (39.31274, 16.17354) 马尔凯萨托马拉诺
Mangone (39.20437, 16.33262) 曼戈内
Mandatoriccio (39.46675, 16.8342) 曼达托里乔
Mandas (39.65514, 9.12955) 曼达斯
Mandanici (38.00356, 15.31669) 曼达尼奇
Mammola (38.36262, 16.23871) 马莫拉
Malvito (39.60105, 16.05341) 马尔维托
Malvagna (37.91752, 15.05548) 马尔瓦尼亚
Malito (39.15775, 16.24677) 马利托
Malfa (38.5773, 14.83598) 马尔法
Maletto (37.82914, 14.86403) 马莱托
Maierato (38.71111, 16.17532) 马耶拉托
Maiera (39.71655, 15.85012) 马耶拉
Maida (38.85884, 16.36277) 马伊达
Magisano (39.01339, 16.6279) 马吉萨诺
Luzzi (39.44799, 16.2873) 卢齐
Locogrande (37.92578, 12.51154) 洛科格兰德
Lungro (39.73772, 16.12586) 隆格罗
Lunamatrona (39.64943, 8.89966) 卢纳马特罗纳
Lucugnano (39.9349, 18.32174) 卢库尼亚诺
Lucca Sicula (37.57783, 13.30579) 卢卡西库拉
Lotzorai (39.9694, 9.6635) 洛佐赖
Longobucco (39.4483, 16.6105) 隆戈布科
Longobardi (38.70357, 16.12117) 隆戈巴尔迪
Longi (38.02617, 14.75306) 隆吉
Locri (38.23868, 16.25957) 洛克里
Loceri (39.85816, 9.58368) 洛切里
Lipari (38.46743, 14.95398) 利帕里
Linguaglossa (37.84243, 15.13774) 林瓜格洛萨
Linera (37.6638, 15.13653) 利内拉
LimbadiCaroni (38.55902, 15.96441) 林巴迪卡罗尼
Licodia Eubea (37.15674, 14.70555) 利科迪亚尤贝亚
Licata (37.10267, 13.93972) 利卡塔
Librizzi (38.09719, 14.95909) 利布里齐
Leuca (39.79949, 18.35815) 勒乌卡
Letojanni (37.8805, 15.30735) 莱托雅尼
Lercara Friddi (37.74657, 13.60391) 勒尔卡拉弗里迪
Leonforte (37.64197, 14.39766) 莱昂福尔泰
Lentini (37.28556, 14.99737) 伦蒂尼
Leni (38.55534, 14.82497) 莱尼
Le Castella (38.9101, 17.02216) 莱卡斯特拉
Lazzaro (37.97276, 15.66511) 拉扎罗
Laurignano (39.27915, 16.24232) 劳里尼亚诺
Laureana di Borrello (38.49215, 16.08429) 劳雷亚纳迪博雷洛
Lattarico (39.45105, 16.127) 拉塔里科
Las Plassas (39.67979, 8.98442) 拉斯普拉萨斯
Lascari (38.00067, 13.94053) 拉斯卡里
Rocca di Capri Leone (38.10677, 14.71032) 卡普里莱奥内堡
Larderia (38.14101, 15.50287) 拉尔德里亚
Lappano (39.31964, 16.31143) 拉帕诺
Lanusei (39.87927, 9.54022) 拉努塞伊
Lampedusa (35.50142, 12.60964) 兰佩杜萨
La Maddalena (41.21424, 9.40833) 拉马达莱纳
Laino Borgo (39.9543, 15.97348) 莱诺博尔戈
Lago (41.62148, -8.41258) 拉戈
Laganadi (38.17391, 15.74133) 拉加纳迪
La Gala (38.11802, 15.23089) 拉加拉
Laconi (39.85325, 9.05196) 拉科尼
Kamma (36.79701, 12.03617) 卡马
Itala (38.05144, 15.43706) 伊塔拉
Ispica (36.78622, 14.9053) 伊斯皮卡
Isola delle Femmine (38.19123, 13.24691) 费米内岛
Isnello (37.94324, 14.00724) 伊斯内洛
Isili (39.73952, 9.11114) 伊西利
Isca sullo Ionio (38.60103, 16.5201) 伊斯卡苏洛约尼奥
Joppolo Giancaxio (37.38681, 13.55586) 约波洛贾恩卡西奥
Ilbono (39.89258, 9.54582) 伊尔博诺
Jerzu (39.79289, 9.51785) 耶尔祖
Guspini (39.53954, 8.63502) 古斯皮尼
Guasila (39.5598, 9.04404) 瓜西拉
Guarrato (37.93282, 12.54752) 瓜拉托
Aprigliano (39.24228, 16.34046) 阿普里利亚诺
Guardia Piemontese (39.46572, 15.9997) 皮埃蒙特卫队
Guardavalle (38.5051, 16.50669) 瓜尔达瓦莱
Guamaggiore (39.56849, 9.07391) 瓜马焦雷
Grotteria (38.36509, 16.26522) 格罗泰里亚
