Cassibile (36.97862, 15.20061) 卡西比莱
Cassaro (37.10571, 14.94697) 卡萨罗
Cassano Allo Ionio (39.78142, 16.32738) 卡萨诺阿洛约尼奥
Casole Bruzio (39.28384, 16.33193) 卡索莱布鲁齐奥
Casignana (38.10187, 16.0899) 卡西尼亚纳
Casarano (40.01131, 18.16237) 卡萨拉诺
Casalvecchio Siculo (37.9585, 15.32371) 卡萨尔韦基奥西库洛
Casabona (39.24951, 16.95446) 卡萨博纳
Carrubbo (37.49481, 14.63456) 卡鲁博
Carpanzano (39.14817, 16.30451) 卡尔潘扎诺
Marina di Caronia (38.03545, 14.44182) 卡罗尼亚滨海
Caronia (38.02381, 14.44142) 卡罗尼亚
Carolei (39.25472, 16.21979) 卡罗莱伊
Carlopoli (39.05406, 16.45455) 卡尔洛波利
Carloforte (39.14081, 8.3039) 卡洛福尔泰
Carlentini (37.28071, 15.0102) 卡尔伦蒂尼
Carini (38.1324, 13.18274) 卡里尼
Cariati (39.49627, 16.95495) 卡里亚蒂
Caria (38.64712, 15.903) 卡里亚
Carfizzi (39.30771, 16.97447) 卡尔菲齐
Careri (38.17741, 16.11614) 卡雷里
Cardinale (38.65379, 16.38715) 卡尔迪纳莱
Cardeto (38.0844, 15.76577) 卡尔德托
Carbonia (39.16465, 8.5213) 卡尔博尼亚
Caraffa di Catanzaro (38.88194, 16.48675) 卡坦扎罗的卡拉法
Caraffa del Bianco (38.09259, 16.08766) 卡拉法德尔比安科
Capri Leone (38.08682, 14.72959) 卡普里莱奥内
Capoterra (39.1752, 8.97199) 卡波泰拉
Capo Rizzuto (38.90412, 17.09872) 卡波里佐托
Capo d'Orlando (38.14262, 14.73292) 卡波多尔兰多
Dipignano (39.23869, 16.25184) 迪皮尼亚诺
Capizzi (37.84788, 14.47976) 卡皮齐
Capistrano (38.69131, 16.28935) 卡皮斯特拉诺
Capaci (38.17107, 13.2393) 卡帕西
Canolo (44.79597, 10.74932) 卡诺洛
Canneto (38.49505, 14.96037) 坎内托
Canicattini Bagni (37.03171, 15.06388) 卡尼卡蒂尼巴尼
Canicatti (37.35842, 13.84786) 卡尼卡蒂
Candidoni (38.50548, 16.0863) 坎迪多尼
Camporeale (37.88612, 13.10107) 坎波雷阿莱
Campofranco (37.51208, 13.71213) 坎波弗兰科
Campofiorito (37.75374, 13.26875) 坎波菲奥里托
Campobello di Mazara (37.63464, 12.74946) 马扎拉的坎波贝洛
Campobello di Licata (37.25759, 13.91811) 利卡塔的坎波贝洛
Cammarata (37.63361, 13.62722) 坎马拉塔
Camini (38.43179, 16.48321) 卡米尼
Camigliatello Silano (39.34093, 16.44148) 卡米利亚泰洛西拉诺
Camastra (37.2538, 13.79211) 卡马斯特拉
Caltavuturo (37.8204, 13.89158) 卡尔塔武图罗
Caltanissetta (37.49025, 14.06216) 卡尔塔尼塞塔
Caltagirone (37.23785, 14.51551) 卡尔塔吉罗内
Caltabellotta (37.57543, 13.21632) 卡尔塔贝洛塔
Caloveto (39.50656, 16.76065) 卡洛韦托
Caloppezzati (39.5612, 16.8018) 卡洛佩扎蒂
Calimera (40.24948, 18.27982) 卡利梅拉
Calcarelli (37.79313, 14.03799) 卡尔卡雷利
Calatafimi (37.9144, 12.86364) 卡拉塔菲米
Calatabiano (37.82049, 15.23069) 卡拉塔比亚诺
Calasetta (39.10697, 8.36803) 卡拉塞塔
Calascibetta (37.59024, 14.2718) 卡拉西贝塔
Calanna (38.18457, 15.72293) 卡兰纳
Calamonaci (37.52566, 13.29053) 卡拉莫纳奇
Cagliari (39.23054, 9.11917) 卡利亚里
Caccuri (39.22562, 16.77767) 卡库里
Caccamo (37.93357, 13.66808) 卡卡莫
Cabras (39.92871, 8.53242) 卡布拉斯
Butera (37.191, 14.18232) 布泰拉
Buscemi (37.08604, 14.88499) 布谢米
Burgio (37.60094, 13.28826) 布尔焦
Burcei (39.34379, 9.36027) 布尔切伊
Buonvicino (39.68877, 15.884) 布翁维奇诺
Buggerru (39.39831, 8.40186) 布杰鲁
Buccheri (37.12494, 14.85222) 布凯里
Bruzzano Zeffirio (38.01327, 16.0826) 布鲁扎诺泽菲里奥
Brucoli (37.28191, 15.18836) 布鲁科利
Brolo (38.15623, 14.82799) 布罗洛
Briatico (38.72254, 16.02737) 布里亚蒂科
Brancaleone (37.96582, 16.10296) 布兰卡莱奥内
BrancaleoneMarina (37.96667, 16.1) 布兰卡莱奥内滨海
Bova Marina (37.93503, 15.91736) 博瓦滨海
Bovalino Superiore (38.16905, 16.15849) 博瓦利诺苏佩里奥雷
Bovalino (38.15376, 16.17232) 博瓦利诺
Botricello (38.92997, 16.85801) 博特里切洛
Borgia (38.82627, 16.5077) 博尔贾
Borgetto (38.04664, 13.14071) 博尔杰托
Bonifati (39.58595, 15.90163) 博尼法蒂
Bompietro (37.74394, 14.0947) 邦皮耶特罗
Bompensiere (37.4724, 13.7814) 邦彭西耶雷
Bolognetta (37.9712, 13.45627) 博洛涅塔
Bocchigliero (39.4193, 16.75057) 博基列罗
Bivongi (38.48328, 16.45251) 比翁吉
Bivona (37.61797, 13.43895) 比沃纳
Bisignano (39.50727, 16.28106) 比西尼亚诺
Bisacquino (37.70352, 13.26051) 比萨奎诺
Bianco (38.0917, 16.15159) 比安科
Bianchi (39.10058, 16.41018) 比安基
Biancavilla (37.64442, 14.86685) 比安卡维拉
Benestare (38.18487, 16.139) 贝内斯塔雷
Belvi (39.96181, 9.18419) 贝尔维
Belvedere Marittimo (39.6193, 15.8622) 贝尔韦代雷马里蒂莫
