Pontassieve (43.77477, 11.43109) - 庞塔西耶韦
Ponso (13.291, 123.5171) - 蓬索
Ponsacco (43.62307, 10.62661) - 蓬萨科
Ponna Superiore (45.98957, 9.09406) - 上蓬纳
Poncarale (45.46089, 10.17976) - 蓬卡拉莱
Pomponesco (44.93118, 10.59402) - 蓬波内斯科
Pompiano (45.43116, 9.9891) - 蓬皮亚诺
Pompeiana (43.85297, 7.88836) - 蓬佩亚纳
Pompei (40.74574, 14.49698) - 庞贝
Pomigliano d'Arco (40.90975, 14.38316) - 阿尔科的蓬米利亚诺
Pomezia (41.66931, 12.50124) - 波梅齐亚
Pometo (44.92788, 9.27348) - 波梅托
Pombia (45.6555, 8.62846) - 蓬比亚
Pomaro Monferrato (45.06246, 8.59604) - 蒙费拉托的波马罗
Pomarico (40.52804, 16.52708) - 波马里科
Pomaretto (45.15194, 8.04661) - 波马雷托
Pomarance (43.29592, 10.87223) - 波马兰切
Polvica (40.69484, 14.64019) - 波尔维卡
Polverigi (43.52876, 13.38294) - 波尔韦里吉
Polverara (45.30945, 11.95474) - 波尔韦拉拉
Pollutri (42.13784, 14.59172) - 波卢特里
Pollone (45.57976, 8.00592) - 波隆内
Pollica (40.1907, 15.05716) - 波利卡
Pollenza (43.26595, 13.34788) - 波伦扎
Pollein (45.7278, 7.35146) - 波莱恩
Polla (40.51433, 15.49715) - 波拉
Polino (42.58423, 12.84437) - 波利诺
Polinago (44.34502, 10.72597) - 波利纳戈
Polignano a Mare (40.99221, 17.22149) - 波利尼亚诺阿马雷
Policoro (40.2128, 16.67795) - 波利科罗
Polesine Parmense (45.01682, 10.09015) - 帕尔门塞的波莱西内
Polesine (44.98581, 10.80428) - 波莱西内
Polesella (44.96457, 11.74887) - 波莱塞拉
Polcenigo (46.03822, 12.50321) - 波尔切尼戈
Poirino (44.92047, 7.84465) - 波伊里诺
Poiano (45.47029, 11.01875) - 波亚诺
Poiana Maggiore (45.29039, 11.5025) - 波亚纳马焦雷
Pogno (45.75806, 8.38559) - 波尼奥
Pognana Lario (45.88044, 9.15762) - 波尼亚纳拉里奥
Pogliano Milanese (45.53786, 8.99403) - 米兰的波利亚诺
Poggiridenti Alto (46.1748, 9.92605) - 高波吉里登蒂
Poggio San Vicino (43.37466, 13.07964) - 圣维奇诺的波焦
Poggio Sannita (41.77939, 14.41485) - 波焦萨尼塔
Poggio San Lorenzo (42.25174, 12.84343) - 圣洛伦佐的波焦
Poggio Rusco (44.96693, 11.10419) - 波焦鲁斯科
Poggio Renatico (44.76581, 11.48695) - 波焦雷纳蒂科
Villa Opicina (45.6878, 13.78861) - 奥皮奇纳别墅
Poggioreale (40.86543, 14.28877) - 波焦雷亚莱
Poggio Picenze (42.32061, 13.54036) - 波焦皮琴泽
Poggio Nativo (42.21783, 12.79691) - 波焦纳蒂沃
Poggio Moiano (42.20411, 12.88136) - 波焦莫亚诺
Poggio Mirteto (42.26763, 12.68837) - 波焦米尔泰托
Poggiomarino (40.80114, 14.54066) - 波焦马里诺
Poggio Imperiale (41.82503, 15.3668) - 波焦因佩里亚莱
Poggiofiorito (42.25414, 14.32082) - 波焦菲奥里托
Poggiodomo (42.71237, 12.93251) - 波焦多莫
Poggio Catino (42.2942, 12.69838) - 波焦卡蒂诺
Poggio Bustone (42.5033, 12.88524) - 波焦布斯托内
Poggio Berni (44.02639, 12.40944) - 波焦贝尔尼
Poggio A Caiano (43.81378, 11.05186) - 波焦阿卡亚诺
Poggio di Roio (42.33177, 13.37749) - 罗约的波焦
Poggibonsi (43.47064, 11.14804) - 波吉邦西
Poggiardo (40.05315, 18.37819) - 波贾尔多
Pofi (41.56542, 13.4146) - 波菲
Poderia (40.09398, 15.38296) - 波德里亚
Podenzano (44.95484, 9.68315) - 波登扎诺
Podenzana (44.20625, 9.94199) - 波登扎纳
Pocenia (45.8357, 13.10145) - 波切尼亚
Ploaghe (40.67068, 8.74962) - 普洛阿盖
Plaus (46.65623, 11.04178) - 普劳斯
Plasencis (46.06825, 13.07677) - 普拉森奇斯
Pizzone (41.67332, 14.03666) - 皮佐内
Pizzoli (42.43603, 13.29886) - 皮佐利
Pizzoferrato (41.92244, 14.23632) - 皮佐费拉托
Pizzighettone (45.1869, 9.78781) - 皮齐盖托内
Piuro (46.32979, 9.42064) - 皮乌罗
Piumazzo (44.54631, 11.06727) - 皮乌马佐
Piubega (45.22677, 10.53195) - 皮乌贝加
Pitigliano (43.45, 11.93333) - 皮蒂利亚诺
Piteglio (44.0279, 10.76571) - 皮泰廖
Pistrino (43.50966, 12.15181) - 皮斯特里诺
Pistoia (43.93064, 10.92365) - 皮斯托亚
Pisticci (40.39017, 16.55919) - 皮斯蒂奇
Pisoniano (41.90816, 12.95794) - 皮索尼亚诺
Pisogne (45.80777, 10.11023) - 皮索涅
Pisignano (44.23787, 12.26841) - 皮西尼亚诺
Pisciotta (40.1089, 15.23456) - 皮肖塔
Piscinola (40.89299, 14.23394) - 皮西诺拉
Pisa (43.70853, 10.4036) - 比萨
Piozzano (44.92533, 9.49559) - 皮奥扎诺
Piovene Rocchette (45.75601, 11.43273) - 皮奥韦内罗凯特
Piossasco (44.98802, 7.4601) - 皮奥萨斯科
Pioraco (43.18074, 12.97676) - 皮奥拉科
Piombino Dese (45.60964, 11.99416) - 皮翁比诺德塞
Piombino (42.92554, 10.52585) - 皮翁比诺
Pioltello (45.50147, 9.33053) - 皮奥尔泰洛
Piode (45.77059, 8.05265) - 皮奥德
Piobesi Torinese (44.76667, 7.61667) - 都灵的皮奥贝西
Piobesi d'Alba (44.73444, 7.97937) - 阿尔巴的皮奥贝西
Piobbico (43.58819, 12.50962) - 皮奥比科
