Pian di Sco (43.64195, 11.54523) 平迪斯科
Piandimeleto (43.7232, 12.40855) 平迪梅莱托
Piano del Voglio (44.16764, 11.215) 平诺德尔沃利奥
Piamborno (45.91969, 10.22526) 平博尔诺
Piancastagnaio (42.85067, 11.69014) 平卡斯塔尼奥
Pian Camuno (45.84186, 10.14181) 平卡穆诺
Pianazzo (46.42815, 9.3442) 平阿佐
Piana Crixia (44.48504, 8.30805) 平纳克里夏
Piana Battolla (44.19322, 9.85345) 平纳巴托拉
Piaggine (40.34498, 15.37777) 皮亚吉内
Piagge (43.73381, 12.96851) 皮亚杰
Piadena (45.12859, 10.37101) 皮亚德纳
Piacenza d'Adige (45.12749, 11.54333) 皮亚琴察达迪杰
Piacenza (45.05242, 9.69342) 皮亚琴察
Lama Pezzoli (45.04357, 11.90942) 拉马佩佐利
Pezze di Greco (40.81004, 17.41333) 佩泽迪格雷科
Pezzan (45.69341, 12.09616) 佩赞
Pezzana (45.26152, 8.48396) 佩扎纳
Peveragno (44.3206, 7.61859) 佩韦拉尼奥
Pettorazza Grimani (45.13585, 11.98779) 佩托拉扎格里马尼
Pettorano sul Gizio (41.97326, 13.96001) 佩托拉诺苏尔吉齐奥
Pettinengo (45.61306, 8.10422) 佩蒂嫩戈
Petruro Irpino (41.03192, 14.79754) 佩特鲁罗伊尔皮诺
Petritoli (43.06809, 13.66385) 佩特里托利
Petriolo (43.22141, 13.46173) 佩特里奥洛
Petrignano (43.10269, 12.53239) 佩特里尼亚诺
Petriano (43.77935, 12.73214) 佩特里亚诺
Petrella Tifernina (41.69135, 14.69751) 佩特雷拉蒂费尔尼纳
Petrella Salto (42.29405, 13.06794) 佩特雷拉萨尔托
Petina (40.53211, 15.37346) 佩蒂纳
Petacciato (42.00827, 14.86026) 佩塔恰托
Pessione (44.96504, 7.84115) 佩西奥内
Pessinetto (45.28675, 7.41531) 佩西内托
Pessina Cremonese (45.18505, 10.24815) 佩西纳克雷莫内塞
Pescosolido (41.74864, 13.6569) 佩斯科索利多
Pesco Sannita (41.23273, 14.81122) 佩斯科萨尼塔
Pescorocchiano (42.20623, 13.14715) 佩斯科罗基亚诺
