Padula (40.33901, 15.65634) 帕杜拉
Padru (40.76619, 9.521) 帕德鲁
Padriciano (45.65843, 13.83936) 帕德里恰诺
Padria (40.39635, 8.62992) 帕德里亚
Padova (45.40797, 11.88586) 帕多瓦
Padola (46.60336, 12.4793) 帕多拉
Padivarma (44.19648, 9.76753) 帕迪瓦尔马
Paderno Franciacorta (45.58687, 10.07975) 帕代尔诺弗兰恰科尔塔
Paderno Dugnano (45.56899, 9.16483) 帕代尔诺杜尼亚诺
Paderno d'Adda (45.67879, 9.44491) 帕代尔诺达达
Paderno Ponchielli (45.23797, 9.92876) 帕代尔诺庞基耶利
Paderna (44.82148, 8.89088) 帕德尔纳
Padergnone (46.05982, 10.98478) 帕德尔诺内
Padenghe sul Garda (45.50787, 10.51857) 帕登盖苏尔加尔达
Paciano (43.02288, 12.06788) 帕恰诺
Pacentro (42.05043, 13.99151) 帕琴特罗
Ozzero (45.36775, 8.9244) 奥泽罗
Ozzano Monferrato (45.10592, 8.37238) 奥扎诺蒙费拉托
Ozieri (40.5863, 9.0034) 奥齐耶里
Ozegna (45.34801, 7.74503) 奥泽尼亚
Oyace (45.85116, 7.383) 奥亚切
Ovodda (40.09525, 9.16103) 奥沃达
Ovindoli (42.13765, 13.51603) 奥温多利
Ovaro (46.48409, 12.86704) 奥瓦罗
Ovada (44.63727, 8.64196) 奥瓦达
Oulx (45.03641, 6.83372) 乌尔克斯
Ottone (44.62325, 9.33267) 奥托内
Ottobiano (45.15418, 8.83198) 奥托比亚诺
Ottiglio (45.05426, 8.3398) 奥蒂利奥
Ottaviano (40.85193, 14.47826) 奥塔维亚诺
Ottati (40.46291, 15.31526) 奥塔蒂
Ottana (40.23402, 9.04459) 奥塔纳
Otricoli (42.42079, 12.47737) 奥特里科利
Otranto (40.14789, 18.48682) 奥特朗托
Ostuni (40.72913, 17.57675) 奥斯图尼
Ostra Vetere (43.60336, 13.0615) 奥斯特拉韦泰雷
Ostra (47.4, 25.76667) 奥斯特拉
Ostiglia (45.06978, 11.13499) 奥斯蒂利亚
Ostiano (45.2226, 10.2545) 奥斯蒂亚诺
OstenoClaino (46.00367, 9.08741) 奥斯特诺克莱诺
Ostellato (44.74556, 11.94276) 奥斯特拉托
Ossona (45.50708, 8.89314) 奥索纳
Ossi (40.67483, 8.59254) 奥西
Ossago Lodigiano (45.2421, 9.5372) 奥萨戈洛迪贾诺
Ospitaletto (45.55221, 10.07562) 奥斯皮塔莱托
Ospital Monacale (44.66667, 11.7) 奥斯皮塔尔莫纳卡莱
Ospitale di Cadore (46.32808, 12.32263) 奥斯皮塔莱迪卡多雷
Ospedalicchio (43.07812, 12.50074) 奥斯佩达利基奥
Ospedaletto Euganeo (45.21842, 11.60345) 奥斯佩达莱托尤加内奥
Ospedaletto (45.66194, 12.07884) 奥斯佩达莱托
Ospedaletti (43.80221, 7.7183) 奥斯佩达莱蒂
Osoppo (46.25536, 13.08453) 奥索波
Osnago (45.67548, 9.39192) 奥斯纳戈
Osmate (45.78867, 8.65523) 奥斯马特
Osimo (43.48539, 13.48222) 奥西莫
Osilo (40.74349, 8.67113) 奥西洛
Osigo (45.87532, 9.29559) 奥西戈
Osiglia (44.28145, 8.20096) 奥西利亚
Osidda (40.52368, 9.22053) 奥西达
Oschiri (40.71977, 9.10102) 奥斯基里
Orzivecchi (45.42058, 9.96326) 奥尔齐韦基
Orzinuovi (45.40191, 9.92319) 奥尔齐诺维
Orzano (46.06652, 13.34512) 奥尔扎诺
Orvinio (42.13039, 12.93762) 奥尔维尼奥
Orvieto (42.71924, 12.11249) 奥尔维耶托
Orune (40.40786, 9.36963) 奥鲁内
Ortueri (40.03545, 8.98591) 奥尔图埃里
Ortucchio (41.95525, 13.64651) 奥尔图基奥
Ortovero (44.05385, 8.0995) 奥尔托韦罗
Ortona dei Marsi (41.9982, 13.72909) 奥尔托纳德马尔西
Ortona (42.35087, 14.40342) 奥尔托纳
Ortisei (46.57603, 11.67176) 奥尔蒂塞伊
Ortignano Raggiolo (43.67995, 11.74883) 奥尔蒂尼亚诺拉焦洛
Ortezzano (43.03042, 13.60531) 奥尔泰扎诺
Ortelle (40.03371, 18.39125) 奥尔泰莱
Orte (42.46117, 12.38635) 奥尔特
Orta San Giulio (45.79727, 8.41437) 奥尔塔圣朱利奥
Orta Nova (41.32879, 15.70994) 奥尔塔诺瓦
Orsogna (42.22344, 14.28085) 奥尔索尼亚
Orsenigo (45.77839, 9.17963) 奥尔塞尼戈
Orsara di Puglia (41.28163, 15.26765) 奥尔萨拉迪普利亚
Orria (40.29971, 15.17116) 奥里亚
Orotelli (40.30663, 9.1215) 奥罗泰利
Orosei (40.37826, 9.69248) 奥罗塞伊
Ornica (45.98892, 9.57848) 奥尔尼卡
Ornavasso (45.96795, 8.41584) 奥尔纳瓦索
Ornago (45.59987, 9.42099) 奥尔纳戈
Ormea (44.1487, 7.91199) 奥尔梅亚
Oriolo Romano (42.16261, 12.13859) 奥里奥洛罗马诺
Oriolo (40.0532, 16.44663) 奥里奥洛
Orio Litta (45.16244, 9.55447) 奥里奥利塔
Orio Canavese (45.32883, 7.85991) 奥里奥卡纳韦塞
Orio al Serio (45.6749, 9.69083) 奥里奥阿尔塞里奥
Origgio (45.59676, 9.01645) 奥里焦
Oricola (42.04922, 13.03939) 奥里科拉
Orgosolo (40.2053, 9.35445) 奥尔戈索洛
Orgiano (45.33366, 11.45953) 奥尔贾诺
Orezzo (45.80539, 9.82193) 奥雷佐
Ordona (41.31501, 15.62832) 奥尔多纳
Orciano di Pesaro (43.68938, 12.97206) 奥尔恰诺迪佩萨罗
